cage,trt,status,days
1,C,0,21
2,AH,0,21
3,H,1,1
5,H,0,21
6,C,0,21
7,H,0,21
8,H,0,21
9,C,1,2
10,AH,1,6
11,H,0,21
12,AH,1,1
13,AH,1,4
14,H,0,21
15,C,0,21
16,C,0,21
17,AH,0,21
18,C,0,21
19,H,1,3
20,H,1,2
21,C,0,21
22,H,0,21
23,AH,1,3
24,C,1,2
25,H,1,2
26,AH,1,4
27,AH,1,11
28,C,0,21
29,AH,1,2
30,C,1,1
